category,subcategory,value,percentage
Total Exhibitors,Total,720,100
Exhibitor Origin,International,439,61
Exhibitor Origin,Japanese,281,39
Exhibitor Satisfaction,Satisfied with experience,583,81
Exhibitor Return Intent,Likely to exhibit again,605,84
Exhibitor Value,Agree attending is important for business,518,72
Exhibitor NPS,Net Promoter Score,25,NA
Exhibitor Objective,Meet with existing clients,446,62
Exhibitor Objective,Make new business contacts,446,62
Exhibitor Objective,Increase brand awareness,396,55
Exhibitor Objective,Generate new sales leads,288,40
Exhibitor Objective,Keeping up to date with the industry,288,40
Exhibitor Objective,Maintaining your position in the industry,245,34
