year,pavilion_name,organizing_body
2024,China Pavilion,Various Chinese organizations
2024,Korea Pavilion,Korean pharmaceutical organizations
2024,Italy Pavilion,Italian pharmaceutical organizations
2024,Japan Pavilion,Japan Bulk Pharmaceutical Manufacturing Association (JBPMA)
2024,Japan Pharmaceutical Excipients Council,JPEC
2025,Japan Pharmaceutical Raw Materials Association Pavilion,JPMIA
2025,Japan Pharmaceutical Excipients Association Pavilion,JPEA
2025,Italy Pavilion,Italian organizations
2025,Korea Pavilion,Korean organizations
2025,China Pavilion,Chinese organizations
2025,India Pavilion,Indian organizations
2025,Latvia Pavilion,Latvian organizations
